"coordinates (lat,lon)",location_id (id),model (name),model elevation (surface),utc_offset (hrs),temperature (degC),datetime
"(25.8, 80.3)",M,era5,117.83,5.5,18.58,1965-01-01
"(25.8, 80.3)",M,era5,117.83,5.5,19.37,1965-01-02
"(25.8, 80.3)",M,era5,117.83,5.5,16.11,1965-01-03
"(25.8, 80.3)",M,era5,117.83,5.5,17.42,1965-01-04
"(25.8, 80.3)",M,era5,117.83,5.5,16.16,1965-01-05
"(25.8, 80.3)",M,era5,117.83,5.5,16.05,1965-01-06
"(25.8, 80.3)",M,era5,117.83,5.5,16.45,1965-01-07
"(25.8, 80.3)",M,era5,117.83,5.5,15.48,1965-01-08
"(25.8, 80.3)",M,era5,117.83,5.5,15.21,1965-01-09
"(25.8, 80.3)",M,era5,117.83,5.5,15.03,1965-01-10
"(25.8, 80.3)",M,era5,117.83,5.5,14.6,1965-01-11
"(25.8, 80.3)",M,era5,117.83,5.5,15.51,1965-01-12
"(25.8, 80.3)",M,era5,117.83,5.5,17.22,1965-01-13
"(25.8, 80.3)",M,era5,117.83,5.5,17.02,1965-01-14
"(25.8, 80.3)",M,era5,117.83,5.5,18.13,1965-01-15
"(25.8, 80.3)",M,era5,117.83,5.5,18.71,1965-01-16
"(25.8, 80.3)",M,era5,117.83,5.5,18.23,1965-01-17
"(25.8, 80.3)",M,era5,117.83,5.5,18.67,1965-01-18
"(25.8, 80.3)",M,era5,117.83,5.5,19.86,1965-01-19
"(25.8, 80.3)",M,era5,117.83,5.5,17.95,1965-01-20
"(25.8, 80.3)",M,era5,117.83,5.5,17.29,1965-01-21
"(25.8, 80.3)",M,era5,117.83,5.5,17.35,1965-01-22
"(25.8, 80.3)",M,era5,117.83,5.5,17.49,1965-01-23
"(25.8, 80.3)",M,era5,117.83,5.5,18.04,1965-01-24
"(25.8, 80.3)",M,era5,117.83,5.5,18.42,1965-01-25
"(25.8, 80.3)",M,era5,117.83,5.5,18.2,1965-01-26
"(25.8, 80.3)",M,era5,117.83,5.5,18.65,1965-01-27
"(25.8, 80.3)",M,era5,117.83,5.5,18.91,1965-01-28
"(25.8, 80.3)",M,era5,117.83,5.5,18.3,1965-01-29
"(25.8, 80.3)",M,era5,117.83,5.5,18.91,1965-01-30
"(25.8, 80.3)",M,era5,117.83,5.5,19.5,1965-01-31
"(25.8, 80.3)",M,era5,117.83,5.5,20.39,1965-02-01
"(25.8, 80.3)",M,era5,117.83,5.5,21.36,1965-02-02
"(25.8, 80.3)",M,era5,117.83,5.5,22.69,1965-02-03
"(25.8, 80.3)",M,era5,117.83,5.5,22.42,1965-02-04
"(25.8, 80.3)",M,era5,117.83,5.5,21.44,1965-02-05
